age,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm
27.0,172.3,75,21.3,80.0,130.0,54.9,18.4,60.0,217.0
25.0,165.0,55,15.7,77.0,126.0,36.4,16.3,53.0,229.0
31.0,179.6,78,20.1,92.0,152.0,44.8,12.0,49.0,181.0
32.0,174.5,71,18.4,76.0,147.0,41.4,15.2,53.0,219.0
28.0,173.8,67,17.1,70.0,127.0,43.5,27.1,45.0,217.0
36.0,165.4,55,22.0,64.0,119.0,23.8,21.0,27.0,153.0
42.0,164.5,63,32.2,72.0,135.0,22.7,0.8,18.0,146.0
33.0,174.9,77,36.9,84.0,137.0,45.9,12.3,42.0,234.0
54.0,166.8,67,27.6,85.0,165.0,40.4,18.6,34.0,148.0
28.0,185.0,84,14.4,81.0,156.0,57.9,12.1,55.0,213.0
42.0,169.2,65,19.3,63.0,110.0,43.5,16.0,68.0,211.0
57.0,153.0,49,20.9,69.0,106.0,21.5,30.0,0.0,90.0
27.0,156.0,53,35.5,69.0,116.0,23.1,13.1,28.0,144.0
22.0,175.7,67,11.3,71.0,103.0,52.5,19.2,55.0,232.0
24.0,181.0,84,20.4,80.0,120.0,48.9,7.2,54.0,213.0
45.0,159.0,63,30.9,93.0,144.0,34.1,19.0,30.0,155.0
25.0,164.2,66,30.2,82.0,120.0,25.7,22.9,39.0,178.0
26.0,179.9,71,9.7,64.0,135.0,59.6,17.8,61.0,239.0
26.0,169.2,70,21.0,63.0,129.0,41.3,15.1,53.0,225.0
21.0,162.7,47,18.9,78.0,133.0,25.4,20.5,36.0,137.0
25.0,161.7,63,31.3,89.0,128.0,25.0,10.7,39.0,160.0
59.0,155.9,62,30.2,76.0,143.0,36.8,29.1,25.0,122.0
38.0,166.7,67,23.2,70.0,111.0,26.1,19.7,62.0,215.0
44.0,170.0,63,12.9,65.0,115.0,44.5,11.6,49.0,196.0
23.0,164.1,59,29.6,91.0,126.0,24.6,27.5,32.0,169.0
62.0,169.0,70,30.5,96.0,146.0,39.3,4.0,43.0,131.0
47.0,158.3,53,29.2,70.0,117.0,25.9,8.1,32.0,151.0
48.0,175.8,84,31.4,83.0,125.0,33.8,3.7,24.0,211.0
36.0,176.0,81,24.5,81.0,139.0,46.2,8.1,54.0,232.0
50.0,159.8,57,24.4,63.0,103.0,30.8,24.4,30.0,143.0
25.0,170.9,70,15.7,80.0,127.0,36.4,26.4,38.0,246.0
26.0,176.7,77,16.3,66.0,129.0,50.0,9.1,51.0,223.0
28.0,159.5,51,24.5,82.0,123.0,37.2,23.0,37.0,145.0
30.0,172.1,79,26.7,91.0,148.0,34.7,-2.0,40.0,192.0
49.0,151.5,52,27.6,77.0,144.0,23.8,21.3,39.0,154.0
40.0,177.6,88,20.3,93.0,138.0,51.5,12.1,54.0,224.0
21.0,172.5,66,12.5,82.0,130.0,51.2,6.3,46.0,178.0
31.0,177.5,79,23.0,90.0,148.0,51.2,18.4,62.0,208.0
32.0,178.0,84,21.2,68.0,130.0,52.3,16.2,62.0,232.0
27.0,177.6,79,22.8,59.0,108.0,48.0,1.8,59.0,219.0
42.0,168.0,61,14.9,94.0,151.0,28.9,1.0,32.0,230.0
52.0,173.6,84,30.3,93.0,144.0,42.0,9.0,43.0,185.0
39.0,173.3,69,23.8,76.0,137.0,40.0,18.2,38.0,227.0
33.0,159.6,60,32.1,62.0,106.0,21.9,22.2,24.0,129.0
25.0,161.8,57,21.7,74.0,115.0,29.3,26.6,50.0,190.0
31.0,169.9,73,19.2,97.0,145.0,45.0,14.5,37.0,249.0
34.0,183.6,76,16.3,80.0,120.0,46.3,14.2,55.0,220.0
26.0,172.1,66,24.9,62.0,102.0,19.9,-9.9,44.0,159.0
28.0,180.1,82,15.0,83.0,147.0,52.6,18.8,55.0,247.0
58.0,164.2,64,19.8,93.0,150.0,36.8,18.3,38.0,205.0
48.0,169.8,75,14.7,94.0,149.0,51.4,24.7,55.0,246.0
23.0,180.1,65,14.4,72.0,130.0,45.4,18.1,56.0,234.0
38.0,157.2,51,27.3,64.0,106.0,25.1,14.7,19.0,139.0
43.0,168.3,69,31.9,88.0,139.0,32.1,20.2,33.0,164.0
21.0,159.5,51,35.8,80.0,122.0,16.6,2.1,5.0,105.0
56.0,166.7,56,16.5,90.0,147.0,41.6,17.8,30.0,198.0
24.0,164.4,66,17.1,63.0,110.0,40.2,16.2,43.0,232.0
58.0,146.5,46,32.9,71.0,127.0,18.7,17.4,20.0,111.0
42.0,174.1,103,30.5,78.0,123.0,50.7,3.6,25.0,153.0
45.0,185.4,80,21.9,93.0,144.0,46.2,7.1,22.0,205.0
37.0,168.9,78,23.4,88.0,144.0,42.1,20.9,47.0,241.0
31.0,175.3,83,30.1,93.0,152.0,45.9,7.2,55.0,193.0
43.0,164.0,50,22.4,88.0,124.0,24.0,13.5,28.0,160.0
23.0,162.4,58,29.6,71.0,119.0,28.1,25.5,48.0,178.0
59.0,165.0,63,31.4,77.0,120.0,20.8,25.5,30.0,120.0
63.0,166.6,75,31.6,62.0,122.0,34.1,6.7,17.0,140.0
